-0.0176695, 0.279459, 2.80813, 0.1
0.0752073, 0.480987, 3.47531, 0.2
0.211328, 0.577445, 3.93706, 0.3
0.386149, 0.583059, 4.26535, 0.4
0.547395, 0.512425, 4.49864, 0.5
0.685122, 0.38502, 4.64719, 0.6
0.767826, 0.196974, 4.7672, 0.7
0.79434, -0.00906278, 4.83777, 0.8
0.765801, -0.225837, 4.88463, 0.9
0.659331, -0.423207, 4.91688, 1
0.50155, -0.591737, 4.94575, 1.1
0.295023, -0.70969, 4.96857, 1.2
0.0780644, -0.762246, 4.97396, 1.3
-0.154514, -0.7553, 4.99583, 1.4
-0.35653, -0.677921, 4.99511, 1.5
-0.538001, -0.540225, 5.00276, 1.6
-0.681267, -0.349428, 5.00743, 1.7
-0.755725, -0.126957, 5.00793, 1.8
-0.753181, 0.0954153, 5.01159, 1.9
-0.701377, 0.315565, 5.01869, 2
-0.576453, 0.517513, 5.00844, 2.1
-0.40226, 0.655344, 5.01647, 2.2
-0.186396, 0.741264, 5.01548, 2.3
0.0413456, 0.768315, 5.01336, 2.4
0.274349, 0.723465, 5.00684, 2.5
0.468674, 0.608222, 5.01296, 2.6
0.627589, 0.442489, 5.01438, 2.7
0.729763, 0.238892, 5.01246, 2.8
0.768033, 0.0100873, 5.0142, 2.9
0.739368, -0.213015, 5.00522, 3
0.638637, -0.423074, 5.00608, 3.1
0.485521, -0.595414, 5.00835, 3.2
0.284019, -0.71392, 5.01353, 3.3
0.0665068, -0.763669, 5.00648, 3.4
-0.166249, -0.75277, 5.01938, 3.5
-0.365754, -0.671267, 5.01065, 3.6
-0.554022, -0.533847, 5.02401, 3.7
-0.692086, -0.336843, 5.01872, 3.8
-0.755166, -0.111456, 5.00758, 3.9
-0.753812, 0.111223, 5.01037, 4
-0.689932, 0.334076, 5.00947, 4.1
-0.571709, 0.528441, 5.00994, 4.2
-0.393338, 0.661483, 5.01768, 4.3
-0.175327, 0.744071, 5.01612, 4.4
0.0574065, 0.774523, 5.00418, 4.5
0.282879, 0.718864, 5.00906, 4.6
0.478033, 0.597136, 5.01598, 4.7
0.640889, 0.431484, 5.01102, 4.8
0.73074, 0.222597, 5.01658, 4.9
0.764652, -0.00594154, 5.01674, 5
0.731959, -0.226071, 5.00616, 5.1
0.627661, -0.437683, 5.01324, 5.2
0.473482, -0.604494, 5.0127, 5.3
0.270381, -0.715547, 5.00956, 5.4
0.052277, -0.761574, 5.00327, 5.5
-0.181345, -0.748127, 5.01544, 5.6
-0.38024, -0.663429, 5.00964, 5.7
-0.55602, -0.520097, 5.0127, 5.8
-0.690863, -0.324118, 5.01321, 5.9
-0.762882, -0.107705, 5.02218, 6
-0.748574, 0.124228, 5.0117, 6.1
-0.682085, 0.342658, 5.01098, 6.2
-0.563194, 0.531293, 5.01601, 6.3
-0.38115, 0.668896, 5.01665, 6.4
-0.167589, 0.75321, 5.01405, 6.5
0.0726326, 0.771627, 5.00555, 6.6
0.295625, 0.713282, 5.01073, 6.7
0.48683, 0.59033, 5.01712, 6.8
0.645392, 0.415053, 5.01859, 6.9
0.735549, 0.210255, 5.01508, 7
0.771442, -0.0151491, 5.0089, 7.1
0.730631, -0.24295, 5.0086, 7.2
0.627538, -0.450195, 5.01037, 7.3
0.46904, -0.616518, 5.01129, 7.4
0.25939, -0.725614, 5.01526, 7.5
0.0426109, -0.768715, 5.0085, 7.6
-0.180565, -0.750065, 5.01275, 7.7
-0.39056, -0.661774, 5.01538, 7.79999
-0.568532, -0.512554, 5.01572, 7.89999
-0.696346, -0.317754, 5.01602, 7.99999
-0.767669, -0.098115, 5.02268, 8.09999
-0.756296, 0.131318, 5.02055, 8.2
-0.682352, 0.351106, 5.01716, 8.3
-0.551102, 0.540501, 5.01407, 8.4
-0.365414, 0.678365, 5.01392, 8.5
-0.138684, 0.759327, 5.00527, 8.6
0.0770254, 0.766703, 5.01147, 8.7
0.305483, 0.70937, 5.00732, 8.8
0.495849, 0.581482, 5.01618, 8.9
0.649422, 0.407698, 5.01593, 9
0.739479, 0.199925, 5.01357, 9.1
0.773808, -0.0286214, 5.00885, 9.2
0.724851, -0.251527, 5.00794, 9.3
0.613717, -0.452736, 5.00762, 9.4
0.454914, -0.619109, 5.0108, 9.5
0.248356, -0.728478, 5.01694, 9.6
0.0300475, -0.767049, 5.00917, 9.7
-0.202548, -0.745776, 5.02093, 9.8
-0.400947, -0.652088, 5.01209, 9.9
-0.573765, -0.50201, 5.01392, 10
